audio_full_path,label_4_emotion,label_3_polarity,true_arousal,true_valence,label_7_emotion
D:/bigcreate/语言预测数据/test/F0010-0015-S3_W3.wav,2,1,0.9,-0.9,3
D:/bigcreate/语言预测数据/test/F0011-0007-A1_W1.wav,3,2,0.2,0.0,6
D:/bigcreate/语言预测数据/test/F0011-0014-A1_W1.wav,1,1,0.3,-0.3,1
D:/bigcreate/语言预测数据/test/F0011-0028-S1.wav,2,1,0.3,-0.3,4
D:/bigcreate/语言预测数据/test/F0012-0006-A1_S2.wav,3,2,0.2,0.0,6
D:/bigcreate/语言预测数据/test/F0012-0013-A1_W1.wav,1,1,0.3,-0.3,1
D:/bigcreate/语言预测数据/test/F0012-0015-S2.wav,2,1,0.6,-0.6,3
D:/bigcreate/语言预测数据/test/F0012-0017-A1_S3_W1.wav,2,1,0.9,-0.9,3
D:/bigcreate/语言预测数据/test/F0014-0002-0.wav,3,2,0.2,0.0,6
D:/bigcreate/语言预测数据/test/F0014-0011-W1.wav,0,0,0.3,0.3,5
D:/bigcreate/语言预测数据/test/F0014-0017-0.wav,3,2,0.2,0.0,6
D:/bigcreate/语言预测数据/test/F0014-0022-S2.wav,2,1,0.6,-0.6,3
D:/bigcreate/语言预测数据/test/F0015-0001-0.wav,3,2,0.2,0.0,6
D:/bigcreate/语言预测数据/test/F0016-0014-B1_W1.wav,0,0,0.3,0.3,5
D:/bigcreate/语言预测数据/test/F0017-0017-0.wav,3,2,0.2,0.0,6
D:/bigcreate/语言预测数据/test/F0017-0019-S1.wav,2,1,0.3,-0.3,4
D:/bigcreate/语言预测数据/test/F0017-0020-S1.wav,2,1,0.3,-0.3,4
D:/bigcreate/语言预测数据/test/F0018-0003-0.wav,3,2,0.2,0.0,6
D:/bigcreate/语言预测数据/test/F0018-0009-0.wav,3,2,0.2,0.0,6
D:/bigcreate/语言预测数据/test/F0018-0013-A3_W3.wav,1,1,0.9,-0.9,0
D:/bigcreate/语言预测数据/test/F0018-0024-S3.wav,2,1,0.9,-0.9,3
D:/bigcreate/语言预测数据/test/F0018-0025-S3.wav,2,1,0.9,-0.9,3
D:/bigcreate/语言预测数据/test/F0018-0027-S3.wav,2,1,0.9,-0.9,3
D:/bigcreate/语言预测数据/test/F0018-0028-F2_S3.wav,2,1,0.9,-0.9,3
D:/bigcreate/语言预测数据/test/F0019-0001-A1.wav,1,1,0.3,-0.3,1
D:/bigcreate/语言预测数据/test/F0019-0003-A1_W1.wav,3,2,0.2,0.0,6
D:/bigcreate/语言预测数据/test/F0019-0008-A2_W2.wav,3,2,0.2,0.0,6
D:/bigcreate/语言预测数据/train/F0173-0100-0.wav,3,2,0.2,0.0,6
D:/bigcreate/语言预测数据/train/F0195-0015-S2.wav,2,1,0.6,-0.6,3
D:/bigcreate/语言预测数据/train/F0195-0060-S3.wav,2,1,0.9,-0.9,3
D:/bigcreate/语言预测数据/train/F0195-0062-S3.wav,2,1,0.9,-0.9,3
D:/bigcreate/语言预测数据/train/F0195-0069-S3.wav,2,1,0.9,-0.9,3
D:/bigcreate/语言预测数据/train/F0196-0008-0.wav,3,2,0.2,0.0,6
D:/bigcreate/语言预测数据/train/F0196-0017-0.wav,3,2,0.2,0.0,6
D:/bigcreate/语言预测数据/train/F0196-0028-0.wav,3,2,0.2,0.0,6
D:/bigcreate/语言预测数据/train/F0196-0029-0.wav,3,2,0.2,0.0,6
D:/bigcreate/语言预测数据/train/F0196-0036-0.wav,3,2,0.2,0.0,6
D:/bigcreate/语言预测数据/train/F0196-0053-S1.wav,2,1,0.3,-0.3,4
D:/bigcreate/语言预测数据/train/F0196-0057-S1.wav,2,1,0.3,-0.3,4
D:/bigcreate/语言预测数据/train/F0197-0011-S2.wav,2,1,0.6,-0.6,3
D:/bigcreate/语言预测数据/train/F0197-0042-S3.wav,2,1,0.9,-0.9,3
D:/bigcreate/语言预测数据/train/F0198-0012-S3.wav,2,1,0.9,-0.9,3
D:/bigcreate/语言预测数据/train/F0199-0024-S3.wav,2,1,0.9,-0.9,3
D:/bigcreate/语言预测数据/train/M0002-0029-0.wav,3,2,0.2,0.0,6
D:/bigcreate/语言预测数据/train/M0002-0030-A1_W1.wav,1,1,0.3,-0.3,1
D:/bigcreate/语言预测数据/train/M0002-0031-W1.wav,0,0,0.3,0.3,5
D:/bigcreate/语言预测数据/train/M0002-0033-A2_W2.wav,1,1,0.6,-0.6,1
D:/bigcreate/语言预测数据/train/M0002-0034-A2_W2.wav,1,1,0.6,-0.6,1
D:/bigcreate/语言预测数据/train/M0002-0036-A1_W2.wav,1,1,0.6,-0.6,1
D:/bigcreate/语言预测数据/train/M0002-0038-A2_W2.wav,1,1,0.6,-0.6,1
D:/bigcreate/语言预测数据/train/M0002-0039-A2_B2_W2.wav,0,0,0.6,0.6,2
D:/bigcreate/语言预测数据/train/M0002-0040-A2_W2.wav,1,1,0.6,-0.6,1
D:/bigcreate/语言预测数据/train/M0002-0043-W1.wav,0,0,0.3,0.3,5
D:/bigcreate/语言预测数据/train/M0002-0044-W1.wav,0,0,0.3,0.3,5
D:/bigcreate/语言预测数据/train/M0002-0046-0.wav,3,2,0.2,0.0,6
D:/bigcreate/语言预测数据/train/M0002-0047-0.wav,3,2,0.2,0.0,6
D:/bigcreate/语言预测数据/train/M0002-0049-0.wav,3,2,0.2,0.0,6
D:/bigcreate/语言预测数据/train/M0002-0050-W1.wav,0,0,0.3,0.3,5
D:/bigcreate/语言预测数据/train/M0002-0052-0.wav,3,2,0.2,0.0,6
D:/bigcreate/语言预测数据/train/M0002-0053-0.wav,3,2,0.2,0.0,6
D:/bigcreate/语言预测数据/train/M0002-0054-0.wav,3,2,0.2,0.0,6
D:/bigcreate/语言预测数据/train/M0002-0055-0.wav,3,2,0.2,0.0,6
D:/bigcreate/语言预测数据/train/M0002-0056-W1.wav,0,0,0.3,0.3,5
D:/bigcreate/语言预测数据/train/M0002-0058-W1.wav,0,0,0.3,0.3,5
