image_path,original_path,original_label,confidence,label_7,label_4,label_3,arousal,valence
d:\bigcreate\visual_data_temp\archive (3)\Test\anger/image0000006.jpg,anger/image0000006.jpg,surprise,0.8731421290934949,2,0,0,0.7239,0.6112
d:\bigcreate\visual_data_temp\archive (3)\Test\anger/image0000060.jpg,anger/image0000060.jpg,anger,0.852310783018639,0,1,1,0.7966,-0.6818
d:\bigcreate\visual_data_temp\archive (3)\Test\anger/image0000061.jpg,anger/image0000061.jpg,anger,0.80095684657714,0,1,1,0.7607,-0.6408
d:\bigcreate\visual_data_temp\archive (3)\Test\anger/image0000066.jpg,anger/image0000066.jpg,disgust,0.8430792768021197,3,2,1,0.3686,-0.5058
d:\bigcreate\visual_data_temp\archive (3)\Test\anger/image0000106.jpg,anger/image0000106.jpg,anger,0.8491084661862777,0,1,1,0.7944,-0.6793
d:\bigcreate\visual_data_temp\archive (3)\Test\anger/image0000132.jpg,anger/image0000132.jpg,anger,0.8194483454798387,0,1,1,0.7736,-0.6556
d:\bigcreate\visual_data_temp\archive (3)\Test\anger/image0000138.jpg,anger/image0000138.jpg,anger,0.8520518574751808,0,1,1,0.7964,-0.6816
d:\bigcreate\visual_data_temp\archive (3)\Test\anger/image0000182.jpg,anger/image0000182.jpg,anger,0.8414882854744647,0,1,1,0.789,-0.6732
d:\bigcreate\visual_data_temp\archive (3)\Test\anger/image0000195.jpg,anger/image0000195.jpg,anger,0.8231325554226703,0,1,1,0.7762,-0.6585
d:\bigcreate\visual_data_temp\archive (3)\Test\anger/image0000213.jpg,anger/image0000213.jpg,anger,0.8724308397570707,0,1,1,0.8107,-0.6979
d:\bigcreate\visual_data_temp\archive (3)\Test\anger/image0000228.jpg,anger/image0000228.jpg,anger,0.8122761639871947,0,1,1,0.7686,-0.6498
d:\bigcreate\visual_data_temp\archive (3)\Test\anger/image0000294.jpg,anger/image0000294.jpg,anger,0.8391113879323415,0,1,1,0.7874,-0.6713
d:\bigcreate\visual_data_temp\archive (3)\Test\anger/image0000333.jpg,anger/image0000333.jpg,anger,0.7536217387529814,0,1,1,0.7275,-0.6029
d:\bigcreate\visual_data_temp\archive (3)\Test\anger/image0000343.jpg,anger/image0000343.jpg,disgust,0.8703511856366929,3,2,1,0.3741,-0.5222
d:\bigcreate\visual_data_temp\archive (3)\Test\anger/image0000346.jpg,anger/image0000346.jpg,fear,0.8571789295428658,1,1,1,0.7143,-0.5143
d:\bigcreate\visual_data_temp\archive (3)\Test\anger/image0000356.jpg,anger/image0000356.jpg,sad,0.8218456022564528,3,2,1,0.2822,-0.5753
d:\bigcreate\visual_data_temp\archive (3)\Test\anger/image0000368.jpg,anger/image0000368.jpg,disgust,0.8260487408813072,3,2,1,0.3652,-0.4956
d:\bigcreate\visual_data_temp\archive (3)\Test\anger/image0000374.jpg,anger/image0000374.jpg,disgust,0.8307078392851691,3,2,1,0.3661,-0.4984
d:\bigcreate\visual_data_temp\archive (3)\Test\anger/image0000390.jpg,anger/image0000390.jpg,anger,0.8023954750702706,0,1,1,0.7617,-0.6419
d:\bigcreate\visual_data_temp\archive (3)\Test\anger/image0000399.jpg,anger/image0000399.jpg,anger,0.7844882099304229,0,1,1,0.7491,-0.6276
d:\bigcreate\visual_data_temp\archive (3)\Test\anger/image0000407.jpg,anger/image0000407.jpg,anger,0.847243020477899,0,1,1,0.7931,-0.6778
d:\bigcreate\visual_data_temp\archive (3)\Test\anger/image0000415.jpg,anger/image0000415.jpg,anger,0.7360272419661058,0,1,1,0.7152,-0.5888
d:\bigcreate\visual_data_temp\archive (3)\Test\anger/image0000416.jpg,anger/image0000416.jpg,anger,0.896066276081331,0,1,1,0.8272,-0.7169
d:\bigcreate\visual_data_temp\archive (3)\Test\anger/image0000441.jpg,anger/image0000441.jpg,sad,0.7928996288166676,3,2,1,0.2793,-0.555
d:\bigcreate\visual_data_temp\archive (3)\Test\anger/image0000450.jpg,anger/image0000450.jpg,anger,0.7732496988962118,0,1,1,0.7413,-0.6186
d:\bigcreate\visual_data_temp\archive (3)\Test\anger/image0000470.jpg,anger/image0000470.jpg,surprise,0.8255568995050376,2,0,0,0.6953,0.5779
d:\bigcreate\visual_data_temp\archive (3)\Test\anger/image0000511.jpg,anger/image0000511.jpg,anger,0.7896748553681358,0,1,1,0.7528,-0.6317
d:\bigcreate\visual_data_temp\archive (3)\Test\anger/image0000513.jpg,anger/image0000513.jpg,anger,0.7908538607156258,0,1,1,0.7536,-0.6327
d:\bigcreate\visual_data_temp\archive (3)\Test\anger/image0000593.jpg,anger/image0000593.jpg,anger,0.7958770100788126,0,1,1,0.7571,-0.6367
d:\bigcreate\visual_data_temp\archive (3)\Test\anger/image0000602.jpg,anger/image0000602.jpg,anger,0.8442329868334137,0,1,1,0.791,-0.6754
d:\bigcreate\visual_data_temp\archive (3)\Test\anger/image0000690.jpg,anger/image0000690.jpg,sad,0.8537979787692912,3,2,1,0.2854,-0.5977
d:\bigcreate\visual_data_temp\archive (3)\Test\anger/image0000697.jpg,anger/image0000697.jpg,disgust,0.7897153908718793,3,2,1,0.3579,-0.4738
d:\bigcreate\visual_data_temp\archive (3)\Test\anger/image0000722.jpg,anger/image0000722.jpg,surprise,0.7125039995777563,2,0,0,0.6275,0.4988
d:\bigcreate\visual_data_temp\archive (3)\Test\anger/image0000723.jpg,anger/image0000723.jpg,anger,0.7499107651584357,0,1,1,0.7249,-0.5999
d:\bigcreate\visual_data_temp\archive (3)\Test\anger/image0000758.jpg,anger/image0000758.jpg,anger,0.8115496891718968,0,1,1,0.7681,-0.6492
d:\bigcreate\visual_data_temp\archive (3)\Test\anger/image0000776.jpg,anger/image0000776.jpg,anger,0.7191419677617045,0,1,1,0.7034,-0.5753
d:\bigcreate\visual_data_temp\archive (3)\Test\anger/image0000908.jpg,anger/image0000908.jpg,anger,0.763828100944689,0,1,1,0.7347,-0.6111
d:\bigcreate\visual_data_temp\archive (3)\Test\anger/image0000923.jpg,anger/image0000923.jpg,disgust,0.7629544413637663,3,2,1,0.3526,-0.4578
d:\bigcreate\visual_data_temp\archive (3)\Test\anger/image0000932.jpg,anger/image0000932.jpg,anger,0.8476730489701948,0,1,1,0.7934,-0.6781
d:\bigcreate\visual_data_temp\archive (3)\Test\anger/image0000949.jpg,anger/image0000949.jpg,anger,0.7985818555028823,0,1,1,0.759,-0.6389
d:\bigcreate\visual_data_temp\archive (3)\Test\anger/image0000963.jpg,anger/image0000963.jpg,anger,0.7932366750358332,0,1,1,0.7553,-0.6346
