idx,label,pred,correct,conflict,path,rel_text,rel_visual,rel_audio,pred_text,pred_visual,pred_audio,n_available
0,0,0,1,1,pick_visual,0.6491,0.6842,0.1413,0,0,2,3
1,1,1,1,0,unanimous,0.9486,0.9529,0.9524,1,1,1,3
2,1,1,1,1,pick_text,0.6666,0.1223,0.6531,1,3,1,3
3,2,2,1,1,pick_text,0.6697,0.1044,0.6237,2,1,2,3
4,0,0,1,0,unanimous,0.9366,0.9663,0.9506,0,0,0,3
5,1,1,1,1,pick_audio,0.6491,0.1213,0.6655,1,3,1,3
6,1,1,1,0,unanimous,0.9540,0.9597,0.9542,1,1,1,3
7,2,2,1,1,pick_text,0.1677,0.1227,0.1327,2,1,0,3
8,2,2,1,1,pick_text,0.1566,0.1153,-1.0000,2,0,-1,2
9,2,2,1,1,pick_text,0.6869,0.1351,0.6336,2,0,2,3
10,2,2,1,1,pick_text,0.1741,0.1190,0.1473,2,1,3,3
11,1,1,1,0,unanimous,0.9558,0.9607,0.9533,1,1,1,3
12,2,1,0,1,pick_visual,0.6556,0.6639,0.1347,1,1,2,3
13,1,1,1,0,unanimous,0.9475,0.9657,0.9537,1,1,1,3
14,1,1,1,1,pick_visual,0.6919,0.7096,0.1397,1,1,3,3
15,0,2,0,1,pick_text,0.6751,0.1142,0.6658,2,0,2,3
16,0,0,1,1,pick_text,0.6765,0.1099,0.6239,0,3,0,3
17,3,2,0,1,pick_visual,0.1596,0.6368,0.5778,3,2,2,3
18,0,3,0,1,pick_visual,0.6235,0.6944,0.1395,3,3,0,3
19,0,0,1,0,unanimous,0.9498,-1.0000,0.9530,0,-1,0,2
20,3,2,0,1,pick_text,0.6880,0.1220,0.6378,2,3,2,3
21,2,2,1,0,unanimous,0.9508,0.9673,-1.0000,2,2,-1,2
22,1,1,1,1,pick_text,0.6630,0.1322,0.6541,1,3,1,3
23,1,1,1,0,unanimous,-1.0000,0.9634,0.9508,-1,1,1,2
24,1,1,1,0,unanimous,0.9496,0.9688,0.9492,1,1,1,3
25,2,2,1,1,pick_text,0.6913,0.1003,0.6498,2,0,2,3
26,1,3,0,1,pick_text,0.1690,-1.0000,0.1340,3,-1,1,2
27,2,3,0,1,pick_text,0.1805,0.1154,0.1462,3,2,0,3
28,1,1,1,0,unanimous,0.9543,-1.0000,0.9537,1,-1,1,2
29,2,3,0,1,pick_text,0.6947,0.1128,0.6415,3,2,3,3
30,0,0,1,1,pick_text,0.6595,0.6123,0.1391,0,0,1,3
31,1,1,1,0,unanimous,0.9353,-1.0000,0.9495,1,-1,1,2
32,2,2,1,0,unanimous,0.9548,0.9686,0.9490,2,2,2,3
33,1,1,1,0,unanimous,0.9618,0.9606,0.9480,1,1,1,3
34,0,2,0,1,pick_audio,-1.0000,0.1084,0.1464,-1,0,2,2
35,2,2,1,0,unanimous,0.9487,0.9695,0.9510,2,2,2,3
36,2,0,0,1,pick_text,0.6981,0.0995,0.6560,0,2,0,3
37,1,2,0,1,pick_text,0.1745,0.1145,0.1579,2,0,1,3
38,1,1,1,0,unanimous,0.9280,-1.0000,0.9489,1,-1,1,2
39,1,0,0,1,pick_text,0.1643,0.1256,-1.0000,0,1,-1,2
40,3,3,1,1,pick_text,0.6997,0.1045,0.6218,3,0,3,3
41,0,0,1,1,pick_visual,0.1587,0.6681,0.6652,1,0,0,3
42,1,1,1,1,pick_visual,0.1709,0.7112,0.6499,3,1,1,3
43,3,3,1,1,pick_audio,0.1917,0.6443,0.6487,2,3,3,3
44,3,2,0,1,pick_text,0.6904,0.6711,0.1547,2,2,0,3
45,3,3,1,1,pick_text,0.6507,0.6254,0.1425,3,3,2,3
46,3,3,1,0,unanimous,-1.0000,0.9688,0.9526,-1,3,3,2
47,2,1,0,0,unanimous,0.6479,-1.0000,-1.0000,1,-1,-1,1
48,1,1,1,1,pick_text,0.1656,0.1251,0.1543,1,3,0,3
49,0,0,1,0,unanimous,0.9460,0.9588,0.9520,0,0,0,3
50,1,1,1,0,unanimous,0.9592,-1.0000,0.9491,1,-1,1,2
51,1,1,1,1,pick_visual,0.1632,0.6701,0.6288,2,1,1,3
52,2,2,1,1,pick_visual,0.1667,0.6853,0.6401,0,2,2,3
53,2,2,1,1,pick_audio,0.6304,0.1165,0.6539,2,0,2,3
54,2,2,1,0,unanimous,0.9461,0.9636,0.9491,2,2,2,3
55,0,0,1,0,unanimous,0.9329,0.9655,0.9497,0,0,0,3
56,1,1,1,1,pick_text,0.6765,0.1038,0.6580,1,3,1,3
57,0,0,1,0,unanimous,0.9384,0.9624,0.9548,0,0,0,3
58,1,1,1,0,unanimous,-1.0000,0.6433,-1.0000,-1,1,-1,1
59,0,0,1,0,unanimous,0.9559,0.9541,0.9523,0,0,0,3
60,0,0,1,1,pick_text,0.1500,0.1195,0.1304,0,1,2,3
61,3,3,1,0,unanimous,0.9569,0.9632,0.9518,3,3,3,3
62,1,1,1,1,pick_text,0.6612,0.6217,0.1475,1,1,2,3
63,0,0,1,1,pick_text,0.6666,0.1252,0.6258,0,1,0,3
64,0,0,1,1,pick_text,0.6387,0.1057,0.6105,0,2,0,3
65,1,1,1,1,pick_text,0.6780,0.1201,0.6731,1,2,1,3
66,3,3,1,0,unanimous,0.9408,0.9638,0.9512,3,3,3,3
67,2,0,0,1,pick_text,0.1731,0.0963,0.1414,0,1,2,3
68,1,1,1,1,pick_audio,0.1415,0.6532,0.6591,0,1,1,3
69,1,1,1,1,pick_visual,0.1806,0.6574,0.6493,2,1,1,3
70,3,0,0,1,pick_audio,-1.0000,0.1015,0.1392,-1,1,0,2
71,2,1,0,0,unanimous,0.7109,-1.0000,-1.0000,1,-1,-1,1
72,3,3,1,0,unanimous,-1.0000,0.6662,-1.0000,-1,3,-1,1
73,1,1,1,0,unanimous,-1.0000,0.9611,0.9551,-1,1,1,2
74,1,1,1,0,unanimous,0.9542,0.9687,0.9520,1,1,1,3
75,0,0,1,0,unanimous,0.9392,-1.0000,0.9479,0,-1,0,2
76,3,3,1,0,unanimous,0.9580,0.9723,0.9474,3,3,3,3
77,3,3,1,0,unanimous,0.9093,-1.0000,0.9546,3,-1,3,2
78,0,0,1,0,unanimous,0.9463,0.9695,0.9492,0,0,0,3
79,0,0,1,0,unanimous,0.9455,0.9688,0.9476,0,0,0,3
80,0,0,1,1,pick_text,0.6735,0.6726,0.1365,0,0,3,3
81,1,1,1,0,unanimous,0.9418,0.9628,0.9484,1,1,1,3
82,3,3,1,0,unanimous,0.9363,0.9656,0.9441,3,3,3,3
83,0,0,1,1,pick_text,0.6562,0.6536,0.1262,0,0,1,3
84,2,2,1,0,unanimous,-1.0000,0.6766,-1.0000,-1,2,-1,1
85,0,0,1,1,pick_visual,0.6700,0.6974,0.1451,0,0,3,3
86,1,1,1,1,pick_audio,-1.0000,0.1264,0.1544,-1,3,1,2
87,3,3,1,1,pick_text,0.6404,0.1256,0.6378,3,2,3,3
88,1,1,1,0,unanimous,-1.0000,-1.0000,0.6593,-1,-1,1,1
89,0,0,1,0,unanimous,0.9507,-1.0000,0.9518,0,-1,0,2
90,3,3,1,1,pick_audio,-1.0000,0.1154,0.1440,-1,1,3,2
91,3,3,1,1,pick_visual,0.1718,0.6550,0.6071,0,3,3,3
92,3,3,1,0,unanimous,-1.0000,0.9559,0.9523,-1,3,3,2
93,2,2,1,1,pick_visual,0.6529,0.6767,0.1323,2,2,3,3
94,0,0,1,0,unanimous,0.9195,0.9644,0.9452,0,0,0,3
95,0,0,1,1,pick_text,0.1681,0.1084,-1.0000,0,1,-1,2
96,3,3,1,0,unanimous,0.9367,0.9538,0.9540,3,3,3,3
97,0,0,1,0,unanimous,0.9579,0.9688,0.9441,0,0,0,3
98,3,3,1,0,unanimous,0.9505,0.9722,0.9507,3,3,3,3
99,2,0,0,1,pick_text,0.1726,0.1137,-1.0000,0,2,-1,2
100,2,2,1,1,pick_text,0.1791,0.1205,0.1532,2,0,1,3
101,1,1,1,1,pick_text,0.6882,0.6483,0.1511,1,1,0,3
102,1,1,1,0,unanimous,0.9412,0.9646,0.9534,1,1,1,3
103,2,2,1,1,pick_text,0.6794,0.6511,0.1496,2,2,1,3
104,2,2,1,1,pick_text,0.6404,0.1241,0.6245,2,1,2,3
105,0,1,0,1,pick_text,0.1639,0.1101,-1.0000,1,0,-1,2
106,1,1,1,1,pick_text,0.6638,0.1093,0.6538,1,0,1,3
107,2,2,1,0,unanimous,0.9379,0.9676,0.9509,2,2,2,3
108,3,3,1,0,unanimous,0.6657,-1.0000,-1.0000,3,-1,-1,1
109,2,2,1,1,pick_visual,0.1769,0.7116,0.6243,1,2,2,3
110,0,0,1,1,pick_text,0.1839,-1.0000,0.1393,0,-1,2,2
111,3,3,1,0,unanimous,0.9410,0.9644,0.9454,3,3,3,3
112,3,3,1,1,pick_visual,0.6556,0.6811,0.1446,3,3,0,3
113,2,2,1,0,unanimous,0.9530,0.9667,0.9548,2,2,2,3
114,2,0,0,0,unanimous,-1.0000,-1.0000,0.6344,-1,-1,0,1
115,0,0,1,0,unanimous,0.9581,0.9563,0.9487,0,0,0,3
116,1,1,1,0,unanimous,0.9403,0.9698,0.9468,1,1,1,3
117,1,1,1,0,unanimous,0.9550,-1.0000,0.9498,1,-1,1,2
118,1,1,1,1,pick_text,0.6392,0.1063,0.6354,1,3,1,3
119,1,0,0,1,pick_text,0.1561,0.1172,-1.0000,0,1,-1,2
120,0,0,1,0,unanimous,0.9531,0.9670,0.9529,0,0,0,3
121,2,2,1,1,pick_visual,0.1504,0.7095,0.6418,1,2,2,3
122,1,1,1,1,pick_text,0.6747,0.6510,0.1449,1,1,0,3
123,3,3,1,1,pick_text,0.6886,0.6640,0.1335,3,3,1,3
124,2,2,1,1,pick_text,0.6764,0.6631,0.1447,2,2,1,3
125,2,2,1,0,unanimous,0.9534,0.9656,0.9492,2,2,2,3
126,1,1,1,1,pick_visual,0.1842,0.6858,0.6531,3,1,1,3
127,1,1,1,0,unanimous,0.9538,0.9703,0.9535,1,1,1,3
128,0,0,1,1,pick_text,0.1768,-1.0000,0.1473,0,-1,2,2
129,0,0,1,0,unanimous,0.9427,0.9679,0.9525,0,0,0,3
130,0,3,0,1,pick_text,0.6762,0.6680,0.1398,3,3,0,3
131,0,0,1,1,pick_text,0.1854,0.1266,-1.0000,0,1,-1,2
132,2,2,1,0,unanimous,0.9477,0.9649,0.9518,2,2,2,3
133,1,2,0,1,pick_text,0.1636,-1.0000,0.1445,2,-1,1,2
134,2,2,1,0,unanimous,0.9297,0.9629,0.9501,2,2,2,3
135,3,3,1,0,unanimous,0.9480,0.9603,0.9451,3,3,3,3
136,0,0,1,0,unanimous,0.9398,0.9682,0.9538,0,0,0,3
137,3,3,1,0,unanimous,0.9602,0.9688,-1.0000,3,3,-1,2
138,0,0,1,0,unanimous,0.9384,0.9552,0.9512,0,0,0,3
139,2,2,1,0,unanimous,-1.0000,0.9681,0.9530,-1,2,2,2
140,3,3,1,0,unanimous,0.9424,0.9351,0.9471,3,3,3,3
141,0,0,1,0,unanimous,0.9439,0.9659,0.9529,0,0,0,3
142,3,3,1,1,pick_text,0.6734,0.1415,0.6394,3,0,3,3
143,3,3,1,1,pick_text,0.6859,0.1528,0.6413,3,1,3,3
144,3,3,1,0,unanimous,0.9483,0.9670,0.9515,3,3,3,3
145,3,3,1,1,pick_text,0.1794,0.1271,-1.0000,3,0,-1,2
146,1,1,1,1,pick_audio,-1.0000,0.1140,0.1293,-1,2,1,2
147,0,0,1,0,unanimous,0.9214,0.9687,0.9488,0,0,0,3
148,1,1,1,0,unanimous,0.9355,-1.0000,0.9507,1,-1,1,2
149,2,2,1,0,unanimous,0.9315,0.9646,0.9528,2,2,2,3
150,2,2,1,0,unanimous,0.9221,-1.0000,0.9495,2,-1,2,2
151,2,2,1,1,pick_visual,0.6522,0.6702,0.1379,2,2,1,3
152,0,0,1,0,unanimous,0.9380,0.9686,-1.0000,0,0,-1,2
153,3,3,1,1,pick_visual,0.1670,0.6692,0.6232,0,3,3,3
154,3,3,1,1,pick_text,0.6670,0.6644,0.1403,3,3,2,3
155,0,0,1,1,pick_text,0.6572,0.1233,0.6354,0,3,0,3
156,2,2,1,0,unanimous,0.9439,0.9664,0.9518,2,2,2,3
157,1,0,0,1,pick_visual,0.1603,0.7032,0.6522,1,0,0,3
158,2,2,1,1,pick_text,0.6734,0.6679,0.1441,2,2,0,3
159,3,3,1,0,unanimous,0.9401,0.9696,0.9445,3,3,3,3
160,0,0,1,1,pick_visual,0.1695,0.6696,0.6360,3,0,0,3
161,3,3,1,1,pick_text,0.6770,0.6584,0.1297,3,3,1,3
162,1,1,1,0,unanimous,0.9571,-1.0000,0.9449,1,-1,1,2
163,3,3,1,0,unanimous,0.9547,0.9716,0.9468,3,3,3,3
164,1,1,1,0,unanimous,0.9536,0.9618,0.9512,1,1,1,3
165,1,1,1,0,unanimous,0.9326,0.9726,0.9530,1,1,1,3
166,0,0,1,1,pick_text,0.6655,0.1251,0.6393,0,1,0,3
167,2,2,1,0,unanimous,0.9453,0.9522,0.9535,2,2,2,3
168,3,3,1,1,pick_text,0.1833,0.1131,0.1525,3,1,2,3
169,1,1,1,1,pick_text,0.6651,0.1215,0.6579,1,3,1,3
170,0,3,0,1,pick_text,0.6801,0.6370,0.1452,3,3,0,3
171,2,0,0,1,pick_text,0.1535,0.1327,0.1243,0,2,1,3
172,3,3,1,0,unanimous,0.9549,-1.0000,0.9509,3,-1,3,2
173,3,0,0,1,pick_text,0.1541,-1.0000,0.1381,0,-1,3,2
174,0,0,1,0,unanimous,0.9467,0.9734,0.9432,0,0,0,3
175,2,2,1,0,unanimous,0.9520,0.9628,0.9454,2,2,2,3
176,3,3,1,0,unanimous,0.9505,0.9559,0.9538,3,3,3,3
177,2,2,1,0,unanimous,0.9500,0.9612,0.9466,2,2,2,3
178,2,2,1,1,pick_visual,0.1459,0.6579,0.6577,1,2,2,3
179,2,2,1,0,unanimous,0.9520,0.9588,0.9535,2,2,2,3
180,2,1,0,0,unanimous,-1.0000,-1.0000,0.6278,-1,-1,1,1
181,2,3,0,1,pick_text,0.1850,0.1175,0.1294,3,0,2,3
182,0,0,1,0,unanimous,0.9499,0.9642,-1.0000,0,0,-1,2
183,2,2,1,1,pick_visual,0.1584,0.6966,0.6536,0,2,2,3
184,1,1,1,0,unanimous,0.9325,0.9689,0.9524,1,1,1,3
185,1,1,1,1,pick_visual,0.1616,0.6962,0.6289,0,1,1,3
186,1,1,1,1,pick_text,0.1550,0.1082,0.1407,1,2,3,3
187,2,2,1,0,unanimous,0.9408,0.9668,-1.0000,2,2,-1,2
188,3,3,1,0,unanimous,-1.0000,0.6384,-1.0000,-1,3,-1,1
189,2,2,1,1,pick_text,0.1715,0.1146,0.1359,2,3,1,3
190,0,0,1,1,pick_visual,0.6780,0.6922,0.1355,0,0,1,3
191,2,2,1,0,unanimous,0.9179,0.9635,0.9520,2,2,2,3
192,1,1,1,1,pick_audio,-1.0000,0.1356,0.1470,-1,0,1,2
193,2,2,1,0,unanimous,-1.0000,0.9699,0.9548,-1,2,2,2
194,2,2,1,1,pick_audio,0.1853,0.6605,0.6629,0,2,2,3
195,1,1,1,1,pick_visual,0.1668,0.6663,0.6605,0,1,1,3
196,3,3,1,0,unanimous,-1.0000,0.9629,0.9496,-1,3,3,2
