实验,分组,X轴标签,MRE(%),MRE_SD,加权投票(%),多数投票(%),置信度(%)
消融,单模态,文本(T),78.53,0.71,,,
消融,单模态,视觉(V),63.11,2.63,,,
消融,单模态,音频(A),74.89,2.11,,,
消融,双模态,T+V,80.40,1.06,80.49,70.67,70.67
消融,双模态,T+A,78.22,1.46,78.98,76.36,76.36
消融,双模态,V+A,75.73,2.00,76.00,68.22,68.22
消融,三模态,T+V+A,85.82,1.04,85.78,82.98,73.56
缺失率,缺失率,0%,86.22,1.21,86.80,,72.71
缺失率,缺失率,5%,84.76,0.73,86.84,,74.93
缺失率,缺失率,10%,85.82,1.04,85.78,,73.56
缺失率,缺失率,20%,79.47,2.27,82.09,,72.09
缺失率,缺失率,30%,78.31,0.73,78.67,,71.60
缺失率,缺失率,50%,71.87,1.41,72.27,,68.04
文本噪声,单模态噪声,0%,85.82,1.04,85.78,84.22,
文本噪声,单模态噪声,5%,82.62,1.09,82.09,81.20,
文本噪声,单模态噪声,10%,80.44,1.02,80.67,79.38,
文本噪声,单模态噪声,15%,79.73,0.69,78.67,77.11,
文本噪声,单模态噪声,20%,78.49,0.56,75.78,74.89,
文本噪声,单模态噪声,30%,78.44,1.63,73.33,72.40,
文本噪声,单模态噪声,40%,77.69,1.34,69.20,68.36,
文本噪声,单模态噪声,50%,75.64,0.20,65.47,64.62,
视觉噪声,单模态噪声,0%,85.82,1.04,85.78,84.22,
视觉噪声,单模态噪声,5%,83.29,3.77,84.93,83.29,
视觉噪声,单模态噪声,10%,82.36,1.24,82.76,81.16,
视觉噪声,单模态噪声,20%,81.38,1.47,81.78,80.13,
视觉噪声,单模态噪声,30%,81.69,2.27,81.96,79.16,
视觉噪声,单模态噪声,50%,80.04,0.95,80.27,77.11,
音频噪声,单模态噪声,0%,85.82,1.04,85.78,84.22,
音频噪声,单模态噪声,5%,83.69,1.79,83.87,82.89,
音频噪声,单模态噪声,10%,82.27,0.80,83.24,82.36,
音频噪声,单模态噪声,20%,81.11,1.87,80.49,80.93,
音频噪声,单模态噪声,30%,77.69,1.09,77.82,78.31,
音频噪声,单模态噪声,50%,76.49,2.19,74.71,76.44,
全模态噪声,全模态噪声,0%,85.82,1.04,85.78,84.22,
全模态噪声,全模态噪声,5%,80.93,0.81,82.62,82.00,
全模态噪声,全模态噪声,10%,78.31,2.07,78.22,77.16,
全模态噪声,全模态噪声,20%,69.20,0.81,69.29,68.49,
全模态噪声,全模态噪声,30%,60.58,3.91,61.73,61.38,
全模态噪声,全模态噪声,50%,43.82,1.79,44.49,43.87,
小样本,学习曲线,5%(175),78.98,4.82,85.78,84.22,
小样本,学习曲线,10%(350),82.22,2.02,85.78,84.22,
小样本,学习曲线,20%(700),82.76,1.70,85.78,84.22,
小样本,学习曲线,50%(1750),83.60,1.96,85.78,84.22,
小样本,学习曲线,70%(2450),84.36,2.07,85.78,84.22,
小样本,学习曲线,100%(3500),85.11,1.00,85.78,84.22,
置信度,置信度稳定性,0%,85.82,,65.05,59.78,65.70
置信度,置信度稳定性,10%,78.31,,59.06,54.16,58.06
置信度,置信度稳定性,20%,69.20,,55.62,51.29,53.81
置信度,置信度稳定性,30%,60.58,,53.26,49.44,50.95
置信度,置信度稳定性,50%,43.82,,49.28,49.26,49.91
lambda,超参数,0.001,82.45,1.33,,,
lambda,超参数,0.005,82.32,1.44,,,
lambda,超参数,0.01,82.37,1.39,,,
lambda,超参数,0.05,82.43,1.44,,,
lambda,超参数,0.10,82.37,1.46,,,
lambda,超参数,0.20,82.48,1.50,,,
lambda,超参数,0.50,82.48,1.76,,,
lambda,超参数,1.00,82.00,1.78,,,
lambda,超参数,2.00,80.45,2.23,,,
lambda,超参数,5.00,80.67,2.67,,,
lambda,超参数,10.00,80.00,2.51,,,
学习率,超参数,1e-4,78.62,3.86,,,
学习率,超参数,5e-4,83.24,1.79,,,
学习率,超参数,1e-3,83.38,1.89,,,
学习率,超参数,3e-3,85.82,1.04,,,
学习率,超参数,5e-3,85.20,1.22,,,
学习率,超参数,1e-2,85.02,1.60,,,
学习率,超参数,3e-2,85.78,0.60,,,
