target_modality,noise_level,mre_acc_mean,mre_acc_std,weighted_acc_mean,majority_acc_mean
text,0.00,0.8582,0.0104,0.8578,0.8422
text,0.05,0.8262,0.0109,0.8209,0.8120
text,0.10,0.8044,0.0102,0.8067,0.7938
text,0.15,0.7973,0.0069,0.7867,0.7711
text,0.20,0.7849,0.0056,0.7578,0.7489
text,0.30,0.7844,0.0163,0.7333,0.7240
text,0.40,0.7769,0.0134,0.6920,0.6836
text,0.50,0.7564,0.0020,0.6547,0.6462
visual,0.00,0.8582,0.0104,0.8578,0.8422
visual,0.05,0.8329,0.0377,0.8493,0.8329
visual,0.10,0.8236,0.0124,0.8276,0.8116
visual,0.15,0.8253,0.0120,0.8244,0.8058
visual,0.20,0.8138,0.0147,0.8178,0.8013
visual,0.30,0.8169,0.0227,0.8196,0.7916
visual,0.40,0.8067,0.0083,0.8116,0.7862
visual,0.50,0.8004,0.0095,0.8027,0.7711
audio,0.00,0.8582,0.0104,0.8578,0.8422
audio,0.05,0.8369,0.0179,0.8387,0.8289
audio,0.10,0.8227,0.0080,0.8324,0.8236
audio,0.15,0.8093,0.0324,0.8213,0.8196
audio,0.20,0.8111,0.0187,0.8049,0.8093
audio,0.30,0.7769,0.0109,0.7782,0.7831
audio,0.40,0.7760,0.0040,0.7671,0.7764
audio,0.50,0.7649,0.0219,0.7471,0.7644
all,0.00,0.8582,0.0104,0.8578,0.8422
all,0.05,0.8093,0.0081,0.8262,0.8200
all,0.10,0.7831,0.0207,0.7822,0.7716
all,0.15,0.7440,0.0023,0.7462,0.7369
all,0.20,0.6920,0.0081,0.6929,0.6849
all,0.30,0.6058,0.0391,0.6173,0.6138
all,0.40,0.5382,0.0369,0.5324,0.5284
all,0.50,0.4382,0.0179,0.4449,0.4387
