lambda_ent,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,weighted_baseline
0.001,0.8245,0.0133,0.8236,0.0131,0.8240
0.005,0.8232,0.0144,0.8223,0.0142,0.8240
0.01,0.8237,0.0139,0.8227,0.0138,0.8240
0.05,0.8243,0.0144,0.8233,0.0142,0.8240
0.1,0.8237,0.0146,0.8227,0.0144,0.8240
0.2,0.8248,0.0150,0.8238,0.0148,0.8240
0.5,0.8248,0.0176,0.8238,0.0175,0.8240
1.0,0.8200,0.0178,0.8191,0.0177,0.8240
2.0,0.8045,0.0223,0.8034,0.0224,0.8240
5.0,0.8067,0.0267,0.8059,0.0267,0.8240
10.0,0.8000,0.0251,0.7990,0.0253,0.8240
